point_id,OBJECTID,accidents_on_segment,point_in_segment,lat,lon,cause,fatal,speed_limit,f85_kmh,percentage_over_speedlimit,road_class,land_use,safety_score_level,objects_detected_pct,<img>,image_url
A0000,34848,5,1,14.525382,100.0574054,speeding,0,90,106.0,46,primary,RURAL,Stable,"road: 36%, vegetation: 12%, streetlight: 7%, terrain: 6%, lane marking: 4%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0000.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0000.jpg
A0001,34848,5,2,14.5379175,100.1649526,speeding,0,90,106.0,46,primary,RURAL,Stable,"road: 32%, sidewalk: 9%, vegetation: 7%, curb: 4%, streetlight: 1%, lane marking: 1%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0001.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0001.jpg
A0002,34332,10,1,13.7711709,101.9566011,speeding,1,90,112.6,55,primary,RURAL,Stable,"road: 38%, vegetation: 14%, terrain: 2%, streetlight: 1%, lane marking: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0002.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0002.jpg
A0003,34332,10,2,13.7669102,101.6127929,speeding,0,90,112.6,55,primary,RURAL,Stable,"road: 38%, lane marking: 6%, vegetation: 6%, terrain: 5%, sidewalk: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0003.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0003.jpg
A0004,36378,7,1,16.3967886,103.3263329,speeding,1,90,105.5,60,trunk,RURAL,Attention,"vegetation: 16%, road: 15%, lane marking: 7%, terrain: 4%, guardrail: 1%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0004.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0004.jpg
A0005,36378,7,2,16.3735081,103.1384079,speeding,0,90,105.5,60,trunk,RURAL,Attention,"vegetation: 23%, lane marking: 12%, road: 12%, streetlight: 7%, terrain: 5%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0005.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0005.jpg
A0006,33868,2,1,14.6108581,103.075231,speeding,0,80,90.0,37,trunk,URBAN,Monitor,"road: 16%, vegetation: 8%, lane marking: 4%, telephone pole: 3%, utility pole: 3%, streetlight: 2%, wall: 2%, fence: 1%, curb: 1%, sidewalk: 1%, building: 1%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0006.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0006.jpg
A0007,33868,2,2,14.6116539,103.0584416,speeding,0,80,90.0,37,trunk,URBAN,Monitor,"road: 36%, vegetation: 11%, terrain: 5%, lane marking: 4%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0007.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0007.jpg
A0008,45256,3,1,19.4916933,100.3281449,speeding,0,80,55.0,0,secondary,RURAL,Monitor,"road: 37%, building: 16%, lane marking: 7%, vegetation: 2%, streetlight: 1%, barrow: 1%, sidewalk: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0008.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0008.jpg
A0009,45256,3,2,19.4802943,100.3308316,speeding,0,80,55.0,0,secondary,RURAL,Monitor,"vegetation: 28%, road: 26%, lane marking: 16%, terrain: 11%, streetlight: 2%, fence: 2%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0009.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0009.jpg
A0010,36638,3,1,18.2759716,103.2435913,speeding,1,90,105.2,52,primary,RURAL,Stable,"road: 37%, vegetation: 10%, terrain: 5%, streetlight: 4%, lane marking: 4%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0010.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0010.jpg
A0011,36638,3,2,18.1783343,103.1718156,speeding,0,90,105.2,52,primary,RURAL,Stable,"road: 37%, terrain: 9%, streetlight: 8%, vegetation: 7%, telephone pole: 1%, lane marking: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0011.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0011.jpg
A0012,51800,2,1,6.3416866,101.790453,cutting-in,0,30,73.5,100,secondary,RURAL,Critical,"road: 33%, vegetation: 20%, lane marking: 5%, terrain: 4%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0012.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0012.jpg
A0013,51800,2,2,6.3354782,101.7896415,speeding,1,30,73.5,100,secondary,RURAL,Critical,"road: 32%, vegetation: 18%, streetlight: 11%, terrain: 9%, lane marking: 5%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0013.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0013.jpg
A0014,15400,5,1,13.5144409,100.9894234,speeding,2,80,86.8,22,trunk,URBAN,Attention,"road: 40%, lane marking: 7%, telephone pole: 5%, vegetation: 5%, utility pole: 4%, streetlight: 2%, guardrail: 1%, fence: 1%, curb: 1%, building: 1%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0014.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0014.jpg
A0015,15400,5,2,13.5692782,101.0004728,speeding,0,80,86.8,22,trunk,URBAN,Attention,"road: 38%, vegetation: 9%, lane marking: 3%, streetlight: 1%, building: 1%, terrain: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0015.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0015.jpg
A0016,16315,8,1,15.2525591,100.6472253,speeding,0,85,94.8,40,trunk,RURAL,Attention,"road: 37%, lane marking: 7%, vegetation: 6%, terrain: 4%, streetlight: 3%, building: 3%, telephone pole: 2%, pole: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0016.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0016.jpg
A0017,16315,8,2,15.0871632,100.7133934,cutting-in,0,85,94.8,40,trunk,RURAL,Attention,"road: 37%, vegetation: 12%, lane marking: 4%, telephone pole: 2%, streetlight: 1%, barrier: 1%, terrain: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0017.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0017.jpg
A0018,17486,2,1,7.6160123,100.0510767,speeding,0,90,94.0,20,trunk,URBAN,Monitor,"road: 41%, streetlight: 15%, vegetation: 15%, building: 2%, terrain: 2%, train: 1%, lane marking: 1%, barrier: 1%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0018.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0018.jpg
A0019,17486,2,2,7.6290727,100.0457736,speeding,0,90,94.0,20,trunk,URBAN,Monitor,"road: 36%, vegetation: 13%, streetlight: 10%, barrier: 5%, lane marking: 2%, building: 2%, curb: 1%, sidewalk: 1%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0019.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0019.jpg
A0020,50559,2,1,13.2826704,101.2240621,speeding,0,90,84.0,7,secondary,RURAL,Monitor,"road: 33%, vegetation: 26%, streetlight: 14%, lane marking: 6%, curb: 1%, sidewalk: 1%, pole: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0020.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0020.jpg
A0021,50559,2,2,13.2835161,101.2209654,speeding,0,90,84.0,7,secondary,RURAL,Monitor,"road: 37%, vegetation: 23%, lane marking: 4%, pew: 3%, terrain: 2%, streetlight: 1%, barrier: 1%, guardrail: 1%, curb: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0021.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0021.jpg
A0022,38650,16,1,7.938157,99.1461295,speeding,0,90,91.0,17,secondary,RURAL,Critical,"road: 37%, lane marking: 7%, terrain: 6%, building: 4%, vegetation: 3%, telephone pole: 2%, streetlight: 1%, street sign: 1%, pole: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0022.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0022.jpg
A0023,38650,16,2,8.0616603,99.2789044,speeding,1,90,91.0,17,secondary,RURAL,Critical,"road: 30%, vegetation: 24%, lane marking: 7%, telephone pole: 2%, streetlight: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0023.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0023.jpg
A0024,15498,3,1,14.4164996,100.806104,speeding,0,90,105.0,47,trunk,RURAL,Monitor,"road: 35%, vegetation: 12%, lane marking: 3%, terrain: 3%, utility pole: 2%, streetlight: 1%, guardrail: 1%, curb: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0024.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0024.jpg
A0025,15498,3,2,14.4477863,100.731717,speeding,1,90,105.0,47,trunk,RURAL,Monitor,"road: 40%, vegetation: 6%, lane marking: 5%, plow: 3%, streetlight: 2%, umbrella: 1%, barrier: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0025.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0025.jpg
A0026,17231,2,1,16.8704237,101.2430987,speeding,0,90,99.0,33,trunk,RURAL,Monitor,"road: 39%, vegetation: 14%, streetlight: 13%, lane marking: 5%, building: 3%, terrain: 2%, fence: 1%, curb: 1%, sidewalk: 1%, utility pole: 1%, bridge: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0026.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0026.jpg
A0027,17231,2,2,16.8727586,101.2425894,speeding,0,90,99.0,33,trunk,RURAL,Monitor,"road: 36%, vegetation: 13%, streetlight: 6%, lane marking: 5%, terrain: 4%, curb: 1%, building: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0027.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0027.jpg
A0028,34525,16,1,12.6608714,102.0690416,speeding,0,90,85.4,19,trunk,URBAN,Critical,"road: 35%, vegetation: 20%, streetlight: 4%, lane marking: 4%, guardrail: 2%, bucket: 1%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0028.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0028.jpg
A0029,34525,16,2,12.5943526,102.1454836,speeding,0,90,85.4,19,trunk,URBAN,Critical,"road: 33%, vegetation: 7%, streetlight: 5%, lane marking: 4%, building: 4%, terrain: 3%, telephone pole: 2%, fence: 2%, sidewalk: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0029.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0029.jpg
A0030,34528,32,1,12.6588766,102.0098577,cutting-in,0,90,97.7,45,trunk,RURAL,Critical,"road: 36%, vegetation: 16%, terrain: 6%, lane marking: 4%, streetlight: 2%, telephone pole: 2%, guardrail: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0030.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0030.jpg
A0031,34528,32,2,12.789112,101.7618341,speeding,0,90,97.7,45,trunk,RURAL,Critical,"road: 35%, vegetation: 16%, lane marking: 8%, guardrail: 2%, streetlight: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0031.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0031.jpg
A0032,37826,3,1,8.08455,98.88723,speeding,1,90,80.0,0,secondary,URBAN,Critical,"road: 35%, vegetation: 14%, lane marking: 5%, terrain: 5%, utility pole: 3%, streetlight: 2%, telephone pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0032.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0032.jpg
A0033,37826,3,2,8.0832286,98.8677947,speeding,0,90,80.0,0,secondary,URBAN,Critical,"road: 36%, vegetation: 15%, lane marking: 11%, terrain: 7%, streetlight: 5%, utility pole: 2%, wall: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0033.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0033.jpg
A0034,2451,2,1,9.1363301,99.491761,speeding,0,90,47.0,0,trunk,RURAL,Attention,"road: 35%, vegetation: 15%, lane marking: 7%, streetlight: 5%, guardrail: 1%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0034.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0034.jpg
A0035,2451,2,2,9.1386194,99.4943413,speeding,1,90,47.0,0,trunk,RURAL,Attention,"road: 32%, vegetation: 24%, lane marking: 4%, guardrail: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0035.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0035.jpg
A0036,16798,3,1,14.0789267,99.4756544,cutting-in,0,90,87.0,10,secondary,URBAN,Monitor,"road: 41%, streetlight: 18%, vegetation: 12%, lane marking: 3%, terrain: 2%, telephone pole: 1%, barrier: 1%, curb: 1%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0036.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0036.jpg
A0037,16798,3,2,14.0798243,99.4739592,speeding,0,90,87.0,10,secondary,URBAN,Monitor,"road: 38%, vegetation: 17%, streetlight: 13%, lane marking: 5%, barrier: 1%, curb: 1%, terrain: 1%, pole: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0037.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0037.jpg
A0038,221,11,1,19.5593302,99.0719668,speeding,0,80,68.8,3,primary,RURAL,Stable,"vegetation: 41%, road: 34%, lane marking: 5%, terrain: 3%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0038.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0038.jpg
A0039,221,11,2,19.701645,99.1463166,speeding,0,80,68.8,3,primary,RURAL,Stable,"road: 35%, vegetation: 12%, lane marking: 5%, building: 2%, streetlight: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0039.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0039.jpg
A0040,36373,2,1,16.43781,102.9360287,speeding,0,90,91.0,17,trunk,URBAN,Monitor,"road: 33%, vegetation: 17%, antenna: 8%, sidewalk: 8%, curb: 3%, building: 1%, terrain: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0040.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0040.jpg
A0041,36373,2,2,16.4377522,102.9316767,speeding,0,90,91.0,17,trunk,URBAN,Monitor,"road: 39%, building: 5%, lane marking: 3%, sidewalk: 3%, vegetation: 3%, streetlight: 1%, curb: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0041.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0041.jpg
A0042,42349,12,1,14.6392951,99.976738,speeding,0,90,94.5,24,secondary,RURAL,Monitor,"road: 36%, vegetation: 29%, lane marking: 6%, terrain: 5%, telephone pole: 4%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0042.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0042.jpg
A0043,42349,12,2,14.6394936,99.9138562,speeding,0,90,94.5,24,secondary,RURAL,Monitor,"road: 35%, vegetation: 32%, lane marking: 16%, streetlight: 4%, terrain: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0043.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0043.jpg
A0044,52225,2,1,12.7762348,102.0280379,speeding,0,90,86.5,10,secondary,RURAL,Monitor,"vegetation: 30%, road: 29%, terrain: 10%, lane marking: 6%, streetlight: 2%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0044.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0044.jpg
A0045,52225,2,2,12.774785,102.0287217,speeding,0,90,86.5,10,secondary,RURAL,Monitor,"road: 39%, vegetation: 8%, lane marking: 7%, terrain: 3%, telephone pole: 2%, building: 2%, streetlight: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0045.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0045.jpg
A0046,40584,3,1,7.2353689,99.5463149,speeding,1,90,71.0,0,secondary,RURAL,Critical,"vegetation: 47%, road: 28%, telephone pole: 2%, lane marking: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0046.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0046.jpg
A0047,40584,3,2,7.243143,99.5830634,speeding,0,90,71.0,0,secondary,RURAL,Critical,"vegetation: 39%, road: 30%, streetlight: 6%, terrain: 6%, lane marking: 2%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0047.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0047.jpg
A0048,39806,6,1,15.9765109,99.7817599,speeding,0,87,88.9,19,secondary,RURAL,Attention,"road: 35%, terrain: 10%, lane marking: 6%, vegetation: 5%, streetlight: 3%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0048.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0048.jpg
A0049,39806,6,2,15.9282365,99.5429676,speeding,0,87,88.9,19,secondary,RURAL,Attention,"road: 38%, vegetation: 7%, terrain: 5%, lane marking: 3%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0049.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0049.jpg
A0050,33950,3,1,15.2905198,104.8378463,speeding,0,90,89.0,14,trunk,RURAL,Monitor,"road: 35%, lane marking: 7%, building: 7%, sidewalk: 3%, terrain: 3%, vegetation: 2%, streetlight: 1%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0050.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0050.jpg
A0051,33950,3,2,15.2823975,104.8387314,speeding,0,90,89.0,14,trunk,RURAL,Monitor,"road: 28%, vegetation: 21%, lane marking: 5%, streetlight: 2%, sidewalk: 2%, building: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0051.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0051.jpg
